Kota,Kecamatan,Kelurahan,Waktu Prakiraan,Suhu (°C),Kelembapan (%),Kondisi Cuaca,Kecepatan Angin (km/jam),Latitude,Longitude
Kabupaten Bandung,Margahayu,Sukamenak,2026-01-27 10:00:00,26,67,Berawan,9.0,-6.9713834087,107.5842151281
Kabupaten Bandung,Margahayu,Sulaiman,2026-01-27 10:00:00,26,67,Berawan,9.0,-6.9852130575,107.5735890991
Kabupaten Bandung,Nagreg,Bojong,2026-01-27 10:00:00,26,66,Hujan Ringan,10.2,-7.0397057131,107.8752194696
Kabupaten Bandung,Nagreg,Ciaro,2026-01-27 10:00:00,25,68,Hujan Ringan,10.2,-7.0434463948,107.9224816395
Kabupaten Bandung,Nagreg,Ciherang,2026-01-27 10:00:00,26,67,Hujan Ringan,10.2,-7.0384547083,107.900779536
Kabupaten Bandung,Nagreg,Citaman,2026-01-27 10:00:00,25,67,Hujan Ringan,11.2,-7.0046910367,107.8843067949
Kabupaten Bandung,Nagreg,Ganjar Sabar,2026-01-27 10:00:00,26,67,Hujan Ringan,11.2,-7.0172319203,107.8748894376
Kabupaten Bandung,Nagreg,Mandalawangi,2026-01-27 10:00:00,26,67,Berawan,11.2,-7.0336732513,107.860696739
Kabupaten Bandung,Nagreg,Nagreg,2026-01-27 10:00:00,26,67,Hujan Ringan,11.2,-7.0252512164,107.8867150856
Kabupaten Bandung,Nagreg,Nagreg Kendan,2026-01-27 10:00:00,25,68,Hujan Ringan,11.2,-7.0034909893,107.8978703727
Kabupaten Bandung,Pacet,Cikawao,2026-01-27 10:00:00,24,69,Berawan,10.3,-7.1257800703,107.7385818115
Kabupaten Bandung,Pacet,Cikitu,2026-01-27 10:00:00,22,74,Berawan,10.3,-7.1383185265,107.6924385232
Kabupaten Bandung,Pacet,Cinanggela,2026-01-27 10:00:00,23,74,Berawan,8.7,-7.1329596134,107.661151925
Kabupaten Bandung,Pacet,Cipeujeuh,2026-01-27 10:00:00,24,72,Berawan,8.7,-7.0923978922,107.7109582553
Kabupaten Bandung,Pacet,Girimulya,2026-01-27 10:00:00,22,74,Berawan,10.3,-7.1622432496,107.6676164063
Kabupaten Bandung,Pacet,Mandalahaji,2026-01-27 10:00:00,23,71,Berawan,8.7,-7.1131684048,107.7149755411
Kabupaten Bandung,Pacet,Maruyung,2026-01-27 10:00:00,24,72,Berawan,8.7,-7.1080911082,107.703461393
Kabupaten Bandung,Pacet,Mekarjaya,2026-01-27 10:00:00,23,73,Berawan,8.7,-7.1166212379,107.6717209163
Kabupaten Bandung,Pacet,Mekarsari,2026-01-27 10:00:00,24,72,Berawan,8.7,-7.0978965929,107.6900645644
Kabupaten Bandung,Pacet,Nagrak,2026-01-27 10:00:00,23,71,Berawan,8.7,-7.115561684,107.7279054475
Kabupaten Bandung,Pacet,Pangauban,2026-01-27 10:00:00,22,74,Berawan,10.3,-7.140431739,107.6704061205
Kabupaten Bandung,Pacet,Sukarame,2026-01-27 10:00:00,23,72,Berawan,10.3,-7.1568589454,107.7199406616
Kabupaten Bandung,Pacet,Tanjungwangi,2026-01-27 10:00:00,24,69,Berawan,8.7,-7.0854130471,107.7211627475
Kabupaten Bandung,Pameungpeuk,Bojongkunci,2026-01-27 10:00:00,25,68,Berawan,9.0,-7.0189996046,107.5680517551
Kabupaten Bandung,Pameungpeuk,Bojongmanggu,2026-01-27 10:00:00,25,67,Berawan,9.0,-7.0282286249,107.6026399796
Kabupaten Bandung,Pameungpeuk,Langonsari,2026-01-27 09:00:00,24,75,Cerah Berawan,9.0,-7.0204824133,107.6076412192
Kabupaten Bandung,Pameungpeuk,Rancamulya,2026-01-27 10:00:00,26,65,Berawan,9.0,-7.0092175537,107.5924072123
